irradiancia_w_m2,temperatura_c
0.0,23.3
0.0,23.6
10.25,24.2
122.138885,26.6
403.52777,28.5
615.4722,30.5
838.1667,32.2
1023.2778,33.0
1055.0555,34.1
1063.8611,34.4
863.7222,33.5
825.19446,32.4
600.5278,31.3
117.22222,26.3
34.11111,25.9
8.444445,24.6
0.0,24.4
0.0,24.0
0.0,23.7
0.0,24.5
0.0,24.8
0.0,24.4
0.0,24.1
0.0,24.1
0.0,23.4
0.0,22.0
10.833333,22.8
51.61111,23.7
108.388885,25.5
224.11111,26.2
234.52777,28.0
428.25,29.0
436.97223,29.7
520.2778,30.5
625.6389,30.7
739.8889,31.7
213.44444,30.2
18.972221,24.6
39.166668,24.3
6.138889,24.5
0.0,24.1
0.0,23.7
0.0,23.5
0.0,23.6
0.0,23.5
0.0,23.2
0.0,23.1
0.0,22.9
0.0,22.6
0.0,22.4
5.9166665,22.5
119.94444,26.3
206.83333,27.1
630.1389,28.9
842.2778,31.1
985.7222,31.8
1065.8334,32.3
1050.3055,32.8
924.25,31.0
742.9722,30.0
615.2222,28.5
172.58333,28.3
31.694445,27.7
12.75,26.2
0.0,24.5
0.0,24.9
0.0,23.6
0.0,23.8
0.0,23.7
0.0,23.2
0.0,22.9
0.0,22.5
0.0,22.5
0.0,22.4
8.0,22.4
115.52778,25.9
396.1111,28.1
640.0278,32.2
847.8889,33.3
988.75,34.4
1065.2222,34.9
1043.0555,36.1
1031.2778,36.5
656.6111,36.3
169.44444,34.7
149.36111,32.4
70.611115,32.6
3.75,29.4
0.0,27.9
1.5277778,23.0
0.0,22.9
0.0,23.2
0.027777778,22.9
0.0,22.4
0.0,22.3
0.0,22.3
0.0,23.1
0.0,23.7
7.5555553,24.4
100.611115,26.7
377.33334,29.4
485.8611,29.9
507.27777,30.6
344.05554,30.8
347.02777,31.0
265.3611,31.3
260.19446,30.2
185.13889,29.1
232.30556,29.6
182.05556,29.4
63.47222,27.9
6.9444447,27.7
0.0,25.9
0.0,26.0
0.0,25.4
0.0,24.9
0.0,25.1
0.0,25.2
0.0,25.2
0.0,25.3
0.0,25.1
0.0,25.2
2.4722223,25.2
73.111115,26.3
355.05554,28.4
612.5278,30.4
817.19446,31.9
909.55554,32.5
876.05554,33.1
722.0833,33.5
613.55554,32.8
41.52778,24.9
22.944445,23.6
139.0,25.2
117.666664,25.6
11.305555,25.0
0.0,25.0
0.0,25.0
0.0,24.7
0.0,24.7
0.0,25.8
0.0,24.9
0.0,24.4
0.0,24.1
0.0,23.9
0.0,23.8
7.3333335,24.2
54.194443,25.7
183.11111,28.1
553.80554,31.5
916.75,32.5
845.80554,33.7
1011.6111,33.3
405.22223,30.6
104.583336,28.6
177.11111,29.3
217.19444,29.4
357.66666,30.1
94.97222,29.0
5.1944447,28.1
0.0,25.6
0.0,25.7
0.0,24.6
0.083333336,23.6
0.027777778,22.3
0.0,22.5
0.0,22.8
0.0,22.8
0.0,22.6
0.0,22.6
5.0,23.3
51.25,24.0
218.61111,26.9
506.19446,27.9
802.3889,29.8
552.3889,30.0
756.3611,31.1
480.58334,29.5
283.30554,29.0
159.16667,27.7
31.333334,26.7
79.19444,26.8
12.527778,25.1
0.9166667,24.8
0.0,24.9
0.0,24.7
0.0,24.8
0.0,24.7
0.0,24.4
0.0,24.2
0.0,24.0
0.0,24.2
0.0,24.2
0.0,24.2
6.9444447,24.2
138.75,25.6
371.91666,26.9
693.6111,28.1
580.0833,28.3
911.5,30.4
754.1389,30.2
755.9722,30.6
846.69446,30.0
737.8333,29.4
356.97223,28.6
153.08333,27.9
39.805557,27.5
1.4166666,27.3
0.0,26.7
0.0,25.3
0.0,24.1
0.0,24.1
0.0,23.8
0.0,24.2
0.0,24.0
0.0,24.2
0.0,23.9
0.0,23.7
10.333333,24.0
36.055557,24.7
148.55556,26.1
451.25,28.0
386.22223,28.3
662.2778,29.9
649.69446,31.0
542.55554,30.4
758.55554,31.5
870.5,31.7
67.861115,22.7
2.5555556,23.6
1.8333334,23.2
0.055555556,23.6
0.0,23.7
0.0,23.5
0.0,23.6
0.0,23.5
0.0,23.7
0.0,23.8
0.0,24.1
0.0,25.2
0.0,24.9
0.0,23.3
3.9722223,23.3
65.0,24.3
236.27777,26.8
309.3889,27.0
616.4722,28.7
599.7222,28.8
736.4722,30.3
589.44446,30.9
288.97223,28.8
109.611115,26.0
31.166666,25.8
19.88889,25.2
24.166666,25.8
0.16666667,24.2
0.0,24.4
0.0,23.6
0.0,23.4
0.0,22.4
0.0,22.3
0.0,22.3
0.0,22.1
0.0,22.1
0.0,22.2
0.0,22.3
2.3888888,22.2
54.88889,22.9
153.52777,24.1
243.41667,25.1
258.8889,25.1
285.6111,25.3
281.3611,25.2
185.36111,25.0
511.47223,26.5
287.41666,26.2
84.47222,24.8
30.972221,24.3
4.4444447,22.5
0.2777778,22.8
0.0,22.7
0.0,22.7
0.0,22.9
0.0,23.0
0.0,22.9
0.0,23.1
0.0,23.1
0.0,23.1
0.0,23.4
0.0,23.2
1.8888888,23.2
81.22222,24.1
145.75,25.3
254.11111,26.0
364.91666,26.8
694.8333,28.2
617.05554,29.1
463.44446,29.7
449.8889,29.2
333.80554,29.3
171.19444,27.6
91.333336,26.3
31.88889,26.7
7.1944447,25.6
0.0,25.2
0.0,24.0
0.0,24.0
0.0,24.2
0.0,24.3
0.0,23.9
0.0,24.0
0.0,24.1
0.0,24.1
0.0,24.1
3.3333333,24.2
50.916668,25.2
164.5,27.6
229.25,28.8
406.1111,30.6
954.3889,32.4
608.0278,32.2
302.8611,31.7
257.8889,32.2
380.80554,32.8
273.72223,31.5
195.25,31.2
72.583336,30.3
12.0,27.8
0.75,23.4
0.0,23.4
0.027777778,23.9
0.0,23.4
0.0,23.2
0.0,23.5
0.0,23.3
0.0,23.3
0.0,23.3
0.0,23.3
5.5277777,23.8
84.05556,24.9
280.83334,27.3
475.55554,30.2
619.1667,31.5
865.6389,33.3
698.5,31.9
430.72223,33.5
646.25,34.6
847.9167,35.6
597.0278,34.9
401.8889,34.2
138.36111,32.5
3.6666667,28.1
0.0,26.8
0.0,26.1
0.0,25.3
0.0,24.5
0.0,24.1
0.0,23.6
0.0,23.3
0.0,23.1
0.0,22.6
0.0,22.4
4.6944447,22.4
97.72222,26.0
377.72223,28.2
623.0278,30.8
826.44446,32.5
975.6389,33.8
1034.8611,34.7
1052.75,34.9
941.6389,35.7
769.5,35.7
473.16666,34.3
384.1111,35.0
177.86111,32.4
10.0,28.7
0.0,30.6
0.0,26.9
0.0,26.0
0.0,25.1
0.0,24.8
0.0,24.2
0.0,24.1
0.0,23.7
0.0,23.5
0.0,23.1
6.75,23.6
112.333336,27.2
360.80554,29.1
598.44446,30.5
780.2778,31.4
762.4167,32.7
1032.8334,32.4
1067.9722,32.6
939.0,33.0
695.44446,32.8
664.0833,32.9
411.30554,30.9
176.75,29.0
12.777778,27.7
0.0,26.1
0.0,26.1
0.0,25.8
0.0,25.7
0.0,25.7
0.0,25.9
0.0,25.0
0.0,24.5
0.0,23.7
0.0,23.3
4.9444447,23.3
88.361115,26.2
358.55554,27.9
483.52777,29.1
822.6667,30.0
875.44446,31.2
927.9722,32.1
1026.6389,32.8
969.30554,32.2
828.7778,31.8
617.4722,31.0
378.08334,30.7
135.0,29.2
9.166667,28.5
0.0,28.1
0.0,27.9
0.0,27.4
0.0,25.1
0.0,24.7
0.0,25.5
0.0,25.3
0.0,25.8
0.0,25.5
0.0,24.8
3.6944444,24.4
96.69444,27.0
360.91666,29.0
609.25,30.7
811.4722,31.4
960.0833,33.1
1043.2778,33.9
1039.5278,34.4
971.0,34.6
844.7778,34.8
624.8611,33.8
383.8611,32.7
146.13889,31.4
7.361111,29.5
0.0,26.5
0.0,28.6
0.0,26.1
0.0,25.4
0.0,25.1
0.0,24.9
0.0,25.4
0.0,24.4
0.0,24.1
0.0,23.7
3.9444444,23.7
90.25,26.7
370.1111,29.5
601.6111,30.9
795.1111,33.0
939.6389,33.7
1032.3611,34.5
992.5833,35.4
933.55554,36.1
858.4722,37.1
630.30554,35.8
274.6389,33.7
164.11111,32.8
10.75,30.2
0.0,27.5
0.0,26.2
0.0,25.5
0.0,29.2
0.0,27.3
0.0,26.4
0.0,28.5
0.0,27.8
0.0,28.4
0.0,28.1
3.4444444,27.7
94.19444,28.8
366.22223,30.9
604.3333,32.0
799.30554,33.1
944.3611,34.1
1029.5,34.9
1066.6389,35.0
905.2222,33.4
729.2778,32.4
685.7222,32.2
95.27778,28.5
28.305555,26.0
1.0833334,24.3
0.0,24.7
0.0,23.7
0.0,24.0
0.0,24.1
0.0,23.4
0.0,22.8
0.0,22.3
0.0,22.4
0.0,22.3
0.0,22.6
4.3333335,22.4
86.97222,25.0
314.16666,27.0
509.77777,29.0
810.3889,30.3
966.8333,31.4
977.9167,32.3
1014.7222,33.4
931.05554,32.2
403.16666,31.2
399.27777,30.5
123.52778,29.9
116.75,29.4
15.416667,28.7
0.0,28.0
0.0,24.7
0.0,24.1
0.0,24.3
0.0,24.4
0.0,24.0
0.0,24.8
0.0,24.8
0.0,24.4
0.0,24.0
2.9722223,24.1
92.583336,25.1
309.52777,27.7
586.9722,29.2
739.1667,30.2
905.1389,31.5
855.6389,31.8
799.1111,31.6
911.8333,31.5
610.8889,29.6
254.30556,29.0
187.02777,28.6
51.72222,28.5
1.1944444,25.8
0.0,25.8
0.0,25.5
0.0,25.9
0.0,25.4
0.0,25.1
0.0,24.9
0.0,25.3
0.0,25.5
0.0,24.8
0.0,25.0
1.3888888,24.8
68.583336,26.2
124.111115,27.2
268.02777,28.3
719.94446,30.6
948.80554,31.6
976.30554,32.5
753.1389,31.1
245.63889,27.2
502.69446,28.5
370.33334,28.8
68.416664,27.9
11.361111,20.8
0.3888889,21.3
0.0,21.8
0.0,21.9
0.0,22.3
0.0,23.1
0.0,22.9
0.0,23.0
0.0,22.8
0.0,23.1
0.0,23.2
0.0,23.0
3.3888888,23.4
73.111115,24.3
352.30554,26.2
500.0,27.8
413.58334,28.9
1002.19446,31.0
860.80554,31.0
693.0,30.3
480.5,29.4
245.08333,29.1
399.69446,29.8
304.1111,28.3
44.27778,27.9
0.8333333,27.0
0.0,27.1
0.0,26.1
0.0,24.9
0.0,24.9
0.0,25.1
0.0,24.9
0.0,24.8
0.0,24.8
0.0,24.9
0.0,24.3
1.3888888,24.8
72.361115,25.7
204.66667,27.0
545.2778,28.7
706.4167,29.6
515.5278,30.8
588.5833,30.6
199.58333,26.7
46.805557,24.0
59.166668,24.5
79.861115,26.2
44.36111,26.3
34.75,25.9
1.0555556,25.4
0.16666667,24.3
0.055555556,23.7
0.0,23.9
0.0,24.1
0.0,24.1
0.0,24.4
0.0,24.3
0.0,24.1
0.0,24.2
0.0,24.0
1.0555556,24.1
28.36111,24.5
93.5,25.4
287.16666,26.8
549.8889,28.5
715.3333,29.5
649.6111,30.3
404.97223,29.7
858.0833,31.3
837.8889,31.1
648.25,31.6
239.75,29.3
20.11111,27.6
1.9722222,26.2
0.0,26.5
0.0,26.7
0.0,26.0
0.0,25.7
0.0,24.5
0.0,24.3
0.0,23.9
0.0,23.6
0.0,23.4
0.0,23.2
2.0833333,23.2
87.638885,25.5
328.19446,28.0
573.5833,29.1
639.6111,30.5
753.3611,32.0
918.9722,32.2
1064.9722,33.7
682.3889,32.1
809.5833,31.8
610.5278,31.1
329.16666,30.0
47.833332,28.7
4.5833335,28.9
0.0,26.6
0.0,27.1
0.0,25.1
0.0,25.0
0.0,25.3
0.0,27.0
0.0,26.5
0.0,25.9
0.0,26.0
0.0,25.7
0.7777778,25.8
41.88889,26.3
144.25,26.7
170.5,27.3
274.1389,28.1
479.6111,28.4
384.19446,28.7
565.4167,29.3
628.69446,30.4
266.55554,28.3
146.38889,27.7
79.02778,27.4
25.11111,26.7
0.41666666,24.7
0.0,24.6
0.0,24.4
0.0,24.1
0.0,23.8
0.0,23.8
0.0,23.7
0.0,23.6
0.0,23.5
0.0,23.6
0.0,23.9
1.0,24.2
33.666668,24.7
129.0,25.4
346.19446,27.6
269.5,26.4
229.38889,26.2
690.9167,28.5
841.1389,29.3
645.8333,29.1
420.94446,27.6
267.5,27.8
129.80556,25.5
21.305555,24.1
0.6111111,23.8
0.0,23.3
0.0,22.6
0.0,22.1
0.0,22.1
0.0,22.1
0.0,22.3
0.0,22.4
0.0,22.3
0.0,22.3
0.0,22.2
0.6388889,21.4
47.666668,22.1
133.80556,22.9
203.25,23.2
284.91666,24.0
180.0,23.5
426.47223,26.1
493.16666,27.3
531.55554,27.7
412.97223,27.8
477.8889,27.9
406.3889,27.5
135.61111,25.9
4.111111,23.9
0.0,23.9
0.0,22.2
0.0,22.1
0.0,22.3
0.0,21.8
0.0,22.2
0.0,21.7
0.0,21.8
0.0,21.3
0.0,20.8
1.4166666,21.1
81.94444,22.3
321.52777,23.9
545.8889,24.5
573.3611,24.8
747.75,26.2
551.7778,23.1
258.97223,24.3
351.30554,25.0
319.5,24.6
412.8889,25.3
258.30554,25.7
154.0,25.3
3.4444444,21.2
0.0,21.1
0.0,22.3
0.0,21.2
0.0,20.6
0.0,19.7
0.0,19.3
0.0,19.1
0.0,19.0
0.0,18.9
0.0,18.7
2.5833333,18.7
98.0,20.7
245.16667,22.9
504.94446,25.0
537.4722,26.7
709.6389,26.6
140.30556,26.1
143.94444,25.9
244.83333,27.1
266.72223,26.4
235.44444,27.1
261.44446,26.9
107.638885,25.1
2.5833333,24.3
0.0,22.2
0.0,21.2
0.0,23.2
0.0,22.6
0.0,22.2
0.0,22.1
0.0,21.2
0.0,20.4
0.0,20.7
0.0,20.1
2.0833333,19.9
50.833332,21.8
159.22223,23.8
395.6389,26.6
781.4722,27.7
620.7778,27.9
875.3889,28.9
347.72223,28.7
783.5,29.0
774.0833,29.1
532.80554,28.1
201.13889,26.8
57.27778,26.2
1.0277778,25.9
0.0,25.6
0.0,24.1
0.0,25.1
0.0,24.3
0.0,22.7
0.0,22.6
0.0,22.0
0.0,21.1
0.0,20.6
0.0,20.3
1.5555556,21.3
92.27778,23.6
170.05556,25.2
163.77777,25.4
464.25,27.6
788.75,28.6
502.19446,28.7
447.1111,28.9
804.7778,30.7
808.05554,30.0
582.5,29.4
288.52777,27.9
64.69444,26.6
0.75,26.4
0.0,24.9
0.0,26.0
0.0,25.7
0.0,25.1
0.0,24.8
0.0,23.2
0.0,22.3
0.0,22.5
0.0,22.4
0.0,22.5
2.0277777,21.9
101.72222,24.6
335.02777,27.3
569.2778,28.3
772.1389,29.7
913.7222,31.0
868.7222,31.3
577.7778,30.7
826.3611,31.8
648.5278,30.4
469.69446,30.4
312.69446,29.7
62.416668,27.9
0.9722222,26.7
0.0,26.8
0.0,26.6
0.0,26.3
0.0,26.0
0.0,24.2
0.0,23.0
0.0,22.7
0.0,22.5
0.0,22.2
0.0,22.0
1.9166666,22.0
110.80556,25.4
321.6389,27.7
579.5278,29.1
767.1111,30.7
753.4722,31.0
889.2222,31.9
834.80554,31.6
838.2778,31.5
667.25,30.1
535.4167,30.3
314.08334,29.5
43.194443,28.1
0.41666666,27.8
0.0,27.4
0.0,27.3
0.0,27.0
0.0,26.3
0.0,25.3
0.0,24.6
0.0,24.1
0.0,24.2
0.0,24.3
0.0,23.7
1.75,23.6
77.888885,26.2
195.97223,27.4
548.6389,29.4
778.69446,31.1
883.0833,32.1
919.4167,33.3
836.44446,33.9
741.3333,34.3
631.80554,32.0
197.30556,30.6
41.88889,28.9
9.583333,23.1
2.0555556,24.4
0.30555555,24.4
0.0,24.0
0.0,23.9
0.0,23.8
0.0,23.9
0.0,24.0
0.0,24.2
0.0,23.9
0.0,23.5
0.0,23.1
2.3333333,23.1
92.05556,24.6
179.86111,26.8
508.55554,28.3
593.5,30.5
875.55554,31.9
903.55554,32.7
970.1389,32.7
931.0,33.1
746.75,32.4
401.52777,30.8
187.33333,29.4
65.80556,28.8
0.4722222,27.0
0.0,25.8
0.0,25.2
0.0,25.2
0.0,25.6
0.0,24.1
0.0,23.9
0.0,23.8
0.0,24.0
0.0,24.0
0.0,24.2
0.4722222,24.1
